,L5_AVG_TOUCHES,L10_AVG_TOUCHES,DIFF_AVG_TOUCHES,L5_MED_TOUCHES,L10_MED_TOUCHES,DIFF_MED_TOUCHES,L5_AVG_FANTPTS,L10_AVG_FANTPTS,DIFF_AVG_FANTPTS,L5_MED_FANTPTS,L10_MED_FANTPTS,DIFF_MED_FANTPTS,SPECIAL_SAUCE_V1,SPECIAL_SAUCE_V2,SS_MESHED,EXCESS_L5_AVG_TOUCHES,EXCESS_SS1,EXCESS_SS2
CHRISTIAN MCCAFFREY,24.0,24.6,-0.6000000000000014,26.0,25.5,0.5,21.3,20.41,0.8900000000000006,20.8,19.950000000000003,0.8900000000000006,20.855,20.587500000000002,20.196000000000005,16.17900432900433,15.56937358276644,16.190584415584418
DALVIN COOK,28.8,24.8,4.0,32.0,24.0,8.0,24.240000000000002,21.65,2.5900000000000034,20.0,18.4,2.5900000000000034,22.945,19.6,20.1432,20.97900432900433,17.65937358276644,15.203084415584417
NICK CHUBB,17.4,17.0,0.3999999999999986,20.0,19.5,0.5,16.18,14.030000000000001,2.1499999999999986,18.6,15.0,2.1499999999999986,15.105,17.700000000000003,15.2394,9.579004329004327,9.81937358276644,13.303084415584419
DERRICK HENRY,23.4,23.6,-0.20000000000000284,21.0,23.0,-2.0,18.12,19.389999999999997,-1.269999999999996,17.200000000000003,17.75,-1.269999999999996,18.755,17.337500000000002,17.6946,15.579004329004327,13.469373582766439,12.940584415584418
ANTONIO GIBSON,17.6,16.0,1.6000000000000014,17.0,16.5,0.5,18.96,14.540000000000001,4.42,18.5,13.799999999999999,4.42,16.75,17.325,15.3648,9.77900432900433,11.46437358276644,12.928084415584415
JAMES ROBINSON,24.4,21.3,3.099999999999998,25.0,20.0,5.0,16.82,15.4,1.42,15.9,13.600000000000001,1.42,16.11,15.325000000000001,14.526600000000002,16.579004329004327,10.82437358276644,10.928084415584419
SAQUON BARKLEY,19.8,19.8,0.0,21.0,20.0,1.0,18.66,13.010000000000002,5.649999999999999,17.700000000000003,8.1,5.649999999999999,15.835,15.300000000000002,11.5038,11.97900432900433,10.54937358276644,10.90308441558442
RAHEEM MOSTERT,16.0,15.0,1.0,18.0,14.5,3.5,13.120000000000001,15.040000000000001,-1.92,11.9,14.3,-1.92,14.080000000000002,12.5,13.767600000000002,8.179004329004329,8.794373582766442,8.103084415584416
JOSH JACOBS,19.8,20.4,-0.5999999999999979,18.0,18.5,-0.5,13.220000000000002,11.38,1.8400000000000016,12.8,11.45,1.8400000000000016,12.3,12.462500000000002,11.9196,11.97900432900433,7.01437358276644,8.065584415584418
AUSTIN EKELER,18.2,15.5,2.6999999999999993,20.0,15.5,4.5,11.62,12.200000000000003,-0.5800000000000036,12.9,10.8,-0.5800000000000036,11.91,12.375,10.962600000000002,10.379004329004328,6.62437358276644,7.978084415584417
WAYNE GALLMAN,17.8,10.9,6.9,15.0,10.0,5.0,14.080000000000002,8.01,6.070000000000002,13.700000000000001,7.95,6.070000000000002,11.045000000000002,12.262500000000001,9.893400000000002,9.97900432900433,5.759373582766441,7.865584415584418
CHRIS CARSON,13.2,15.0,-1.8000000000000007,14.0,15.5,-1.5,11.9,13.569999999999999,-1.6699999999999982,11.9,12.9,-1.6699999999999982,12.735,12.15,12.441000000000003,5.379004329004328,7.449373582766439,7.753084415584417
ALVIN KAMARA,15.0,17.9,-2.8999999999999986,14.0,19.0,-5.0,14.14,17.639999999999997,-3.4999999999999964,10.9,15.55,-3.4999999999999964,15.889999999999999,12.0625,14.929200000000002,7.179004329004329,10.604373582766438,7.665584415584417
KENYAN DRAKE,18.4,18.3,0.09999999999999787,17.0,18.5,-1.5,14.940000000000001,12.03,2.910000000000002,12.0,10.75,2.910000000000002,13.485,11.6875,12.025200000000002,10.579004329004327,8.19937358276644,7.290584415584417
LAMAR MILLER,12.6,15.4,-2.8000000000000007,19.0,18.5,0.5,7.140000000000001,10.919999999999998,-3.7799999999999976,11.2,11.35,-3.7799999999999976,9.03,11.237499999999999,9.8472,4.779004329004328,3.744373582766439,6.8405844155844155
TODD GURLEY,19.2,18.3,0.8999999999999986,21.0,18.0,3.0,10.379999999999999,12.32,-1.9400000000000013,10.600000000000001,11.6,-1.9400000000000013,11.35,10.850000000000001,11.081399999999999,11.379004329004328,6.064373582766439,6.453084415584418
D'ANDRE SWIFT,15.2,11.222222222222221,3.977777777777778,16.0,10.0,6.0,13.6,10.733333333333333,2.866666666666667,10.8,9.700000000000001,2.866666666666667,12.166666666666666,10.525000000000002,10.89,7.379004329004328,6.881040249433106,6.128084415584419
AARON JONES,16.6,19.0,-2.3999999999999986,18.0,19.0,-1.0,9.92,15.080000000000002,-5.160000000000002,9.5,13.350000000000001,-5.160000000000002,12.5,10.4625,12.084600000000002,8.77900432900433,7.21437358276644,6.065584415584417
JAMES CONNER,16.6,17.0,-0.3999999999999986,16.0,18.0,-2.0,7.960000000000001,10.900000000000002,-2.9400000000000013,9.9,11.55,-2.9400000000000013,9.430000000000001,10.3125,10.2498,8.77900432900433,4.144373582766441,5.915584415584417
DAMIEN HARRIS,15.6,11.7,3.9000000000000004,14.0,13.0,1.0,10.3,7.300000000000002,2.999999999999999,11.4,7.050000000000001,2.999999999999999,8.8,10.3125,8.052000000000001,7.779004329004328,3.5143735827664404,5.915584415584417
DAVID JOHNSON,15.4,12.5,2.9000000000000004,18.0,14.5,3.5,9.28,8.02,1.2599999999999998,10.3,9.75,1.2599999999999998,8.649999999999999,10.162500000000001,9.4974,7.579004329004329,3.3643735827664383,5.765584415584418
MYLES GASKIN,20.8,16.3,4.5,21.0,15.0,6.0,10.74,8.86,1.8800000000000008,10.3,8.850000000000001,1.8800000000000008,9.8,9.9375,9.385200000000001,12.97900432900433,4.51437358276644,5.540584415584417
JOE MIXON,24.0,24.4,-0.3999999999999986,20.0,24.5,-4.5,14.7,15.570000000000002,-0.8700000000000028,9.4,11.15,-0.8700000000000028,15.135000000000002,9.8375,12.21,16.17900432900433,9.849373582766441,5.440584415584417
