,L5_AVG_TOUCHES,L10_AVG_TOUCHES,DIFF_AVG_TOUCHES,L5_MED_TOUCHES,L10_MED_TOUCHES,DIFF_MED_TOUCHES,L5_AVG_FANTPTS,L10_AVG_FANTPTS,DIFF_AVG_FANTPTS,L5_MED_FANTPTS,L10_MED_FANTPTS,DIFF_MED_FANTPTS,SPECIAL_SAUCE_V1,SPECIAL_SAUCE_V2,SS_MESHED,EXCESS_L5_AVG_TOUCHES,EXCESS_SS1,EXCESS_SS2
TYREEK HILL,9.2,7.3,1.8999999999999995,10.0,6.0,4.0,23.660000000000004,18.150000000000002,5.510000000000002,21.8,16.1,5.510000000000002,20.905,20.375,18.4338,6.437128712871287,16.43236376316203,16.864851485148513
DAVANTE ADAMS,7.6,8.1,-0.5,7.0,7.0,0.0,17.18,17.01,0.16999999999999815,16.6,15.950000000000001,0.16999999999999815,17.095,16.4375,16.1964,4.837128712871287,12.622363763162028,12.927351485148515
D.K. METCALF,6.8,5.4,1.3999999999999995,7.0,4.0,3.0,15.2,14.040000000000001,1.1599999999999984,16.8,15.100000000000001,1.1599999999999984,14.620000000000001,16.375,14.982000000000001,4.0371287128712865,10.14736376316203,12.864851485148515
JUSTIN JEFFERSON,4.8,5.0,-0.20000000000000018,3.0,3.5,-0.5,11.22,12.52,-1.299999999999999,13.5,11.9,-1.299999999999999,11.870000000000001,13.1,11.556600000000001,2.037128712871287,7.397363763162031,9.589851485148515
A.J. BROWN,3.4,4.4,-1.0000000000000004,4.0,4.0,0.0,10.919999999999998,13.020000000000001,-2.100000000000003,12.2,15.0,-2.100000000000003,11.969999999999999,12.899999999999999,13.5036,0.637128712871287,7.497363763162029,9.389851485148514
KEENAN ALLEN,8.2,8.1,0.09999999999999964,9.0,8.5,0.5,13.48,12.180000000000001,1.299999999999999,12.7,11.25,1.299999999999999,12.830000000000002,12.337499999999999,11.8734,5.437128712871287,8.35736376316203,8.827351485148514
CURTIS SAMUEL,8.0,7.5,0.5,7.0,7.0,0.0,11.500000000000002,8.91,2.5900000000000016,13.4,7.050000000000001,2.5900000000000016,10.205000000000002,11.8125,8.448,5.237128712871288,5.732363763162032,8.302351485148515
ADAM THIELEN,4.0,5.2,-1.2000000000000002,3.0,4.0,-1.0,11.64,13.209999999999999,-1.5699999999999985,11.100000000000001,13.700000000000001,-1.5699999999999985,12.425,11.750000000000002,12.883200000000002,1.2371287128712871,7.9523637631620305,8.239851485148517
BRANDON AIYUK,5.4,5.0,0.40000000000000036,6.0,4.5,1.5,10.180000000000001,10.0875,0.09250000000000114,11.5,11.55,0.09250000000000114,10.133750000000001,11.5125,10.982400000000002,2.6371287128712875,5.661113763162031,8.002351485148514
KENNY GOLLADAY,4.0,4.2,-0.20000000000000018,4.0,4.0,0.0,9.16,10.36,-1.1999999999999993,11.4,11.55,-1.1999999999999993,9.76,11.4375,10.645800000000001,1.2371287128712871,5.28736376316203,7.927351485148515
