,L5_AVG_TOUCHES,L10_AVG_TOUCHES,DIFF_AVG_TOUCHES,L5_MED_TOUCHES,L10_MED_TOUCHES,DIFF_MED_TOUCHES,L5_AVG_FANTPTS,L10_AVG_FANTPTS,DIFF_AVG_FANTPTS,L5_MED_FANTPTS,L10_MED_FANTPTS,DIFF_MED_FANTPTS,SPECIAL_SAUCE_V1,SPECIAL_SAUCE_V2,SS_MESHED,EXCESS_L5_AVG_TOUCHES,EXCESS_SS1,EXCESS_SS2
TRAVIS KELCE,7.4,6.8,0.6000000000000005,8.0,8.0,0.0,12.56,12.680000000000001,-0.120000000000001,15.9,15.45,-0.120000000000001,12.620000000000001,15.787500000000001,14.3418,5.684615384615386,9.883688186813188,13.66502403846154
ROB GRONKOWSKI,3.0,3.5,-0.5,2.0,3.5,-1.5,6.9,7.340000000000001,-0.4400000000000004,10.100000000000001,7.65,-0.4400000000000004,7.120000000000001,9.4875,7.3260000000000005,1.284615384615385,4.383688186813187,7.36502403846154
ROBERT TONYAN,3.8,3.7,0.09999999999999964,5.0,4.0,1.0,6.959999999999999,8.780000000000001,-1.820000000000002,7.9,8.2,-1.820000000000002,7.87,7.9750000000000005,7.7088,2.0846153846153848,5.1336881868131865,5.852524038461539
ERIC EBRON,4.0,4.1,-0.09999999999999964,4.0,4.0,0.0,7.56,6.15,1.4099999999999993,8.2,5.2,1.4099999999999993,6.855,7.449999999999999,5.9268,2.284615384615385,4.118688186813187,5.327524038461538
JONNU SMITH,2.2,2.7,-0.5,2.0,2.5,-0.5,5.5200000000000005,7.2299999999999995,-1.709999999999999,7.5,6.800000000000001,-1.709999999999999,6.375,7.325,6.3096000000000005,0.4846153846153851,3.6386881868131864,5.202524038461538
RICHARD RODGERS,3.0,2.4,0.6000000000000001,3.0,2.5,0.5,7.32,4.65,2.67,8.5,3.3,2.67,5.985,7.2,4.5936,1.284615384615385,3.2486881868131867,5.077524038461538
C.J. UZOMAH,3.6,2.6,1.0,4.0,3.0,1.0,6.74,3.97,2.77,8.5,2.65,2.77,5.355,7.0375,3.9732000000000003,1.884615384615385,2.618688186813187,4.915024038461539
GEORGE KITTLE,6.8,7.1,-0.2999999999999998,5.0,5.5,-0.5,11.16,11.040000000000001,0.11999999999999922,5.5,11.0,0.11999999999999922,11.100000000000001,6.875,10.942800000000002,5.084615384615384,8.363688186813189,4.752524038461539
T.J. HOCKENSON,4.6,4.0,0.5999999999999996,5.0,4.0,1.0,6.68,7.140000000000001,-0.46000000000000085,6.800000000000001,6.8500000000000005,-0.46000000000000085,6.91,6.812500000000001,6.7254000000000005,2.8846153846153846,4.1736881868131865,4.690024038461539
EVAN ENGRAM,5.4,4.7,0.7000000000000002,6.0,5.5,0.5,7.0200000000000005,5.880000000000001,1.1399999999999997,7.000000000000001,5.7,1.1399999999999997,6.450000000000001,6.675000000000001,6.078600000000001,3.6846153846153853,3.7136881868131875,4.55252403846154
HUNTER HENRY,4.6,4.3,0.2999999999999998,4.0,4.0,0.0,6.62,6.090000000000001,0.5299999999999994,6.7,5.85,0.5299999999999994,6.355,6.487500000000001,6.0456,2.8846153846153846,3.618688186813187,4.36502403846154
TREY BURTON,2.6,2.5,0.10000000000000009,3.0,2.5,0.5,5.76,5.159999999999999,0.6000000000000005,7.1,2.8500000000000005,0.6000000000000005,5.459999999999999,6.0375,3.7818000000000005,0.884615384615385,2.7236881868131855,3.9150240384615382
LOGAN THOMAS,3.8,3.2,0.5999999999999996,4.0,3.5,0.5,6.1000000000000005,4.76,1.3400000000000007,6.6000000000000005,2.95,1.3400000000000007,5.43,5.6875,3.960000000000001,2.0846153846153848,2.693688186813186,3.5650240384615386
HAYDEN HURST,4.4,3.8,0.6000000000000005,5.0,4.0,1.0,4.640000000000001,6.01,-1.3699999999999992,5.4,5.75,-1.3699999999999992,5.325,5.487500000000001,5.326200000000001,2.6846153846153853,2.5886881868131866,3.3650240384615393
ALBERT OKWUEGBUNAM,2.75,2.75,0.0,1.5,1.5,0.0,4.5249999999999995,4.5249999999999995,0.0,5.25,5.25,0.0,4.5249999999999995,5.25,4.9582500000000005,1.034615384615385,1.7886881868131859,3.1275240384615386
JACK DOYLE,1.2,1.1,0.09999999999999987,1.0,1.0,0.0,4.26,2.8,1.46,6.6,0.9000000000000001,1.46,3.53,5.174999999999999,1.9998,-0.5153846153846151,0.7936881868131862,3.0525240384615375
AUSTIN HOOPER,3.2,3.5,-0.2999999999999998,3.0,3.0,0.0,4.5200000000000005,4.27,0.2500000000000009,5.2,3.9000000000000004,0.2500000000000009,4.395,4.875,4.065600000000001,1.4846153846153851,1.658688186813186,2.7525240384615386
O.J. HOWARD,2.2,2.8,-0.5999999999999996,3.0,3.0,0.0,5.32,5.0200000000000005,0.2999999999999998,4.9,4.75,0.2999999999999998,5.17,4.862500000000001,4.890600000000001,0.4846153846153851,2.4336881868131863,2.7400240384615393
DALTON SCHULTZ,4.2,4.3,-0.09999999999999964,4.0,4.0,0.0,4.640000000000001,5.8100000000000005,-1.17,4.800000000000001,4.800000000000001,-1.17,5.2250000000000005,4.800000000000001,4.699200000000001,2.484615384615385,2.488688186813187,2.6775240384615393
DARREN WALLER,4.8,5.8,-1.0,5.0,5.0,0.0,6.34,7.769999999999999,-1.4299999999999988,3.7,7.5,-1.4299999999999988,7.055,4.65,7.0422,3.0846153846153848,4.318688186813186,2.527524038461539
NOAH FANT,3.6,4.0,-0.3999999999999999,3.0,4.0,-1.0,3.56,5.55,-1.9899999999999998,4.5,4.550000000000001,-1.9899999999999998,4.555,4.5125,4.1778,1.884615384615385,1.8186881868131861,2.3900240384615388
